Date,Price,Quatity Sold
Aug 26 2021 11: +0,0.486,550
Aug 26 2021 12: +0,0.471,336
Aug 26 2021 13: +0,0.464,505
Aug 26 2021 14: +0,0.469,780
Aug 26 2021 15: +0,0.481,441
Aug 26 2021 16: +0,0.469,671
Aug 26 2021 17: +0,0.477,643
Aug 26 2021 18: +0,0.469,501
Aug 26 2021 19: +0,0.46,643
Aug 26 2021 20: +0,0.469,373
Aug 26 2021 21: +0,0.458,468
Aug 26 2021 22: +0,0.458,393
Aug 26 2021 23: +0,0.447,261
Aug 27 2021 00: +0,0.462,194
Aug 27 2021 01: +0,0.458,519
Aug 27 2021 02: +0,0.48,271
Aug 27 2021 03: +0,0.454,165
Aug 27 2021 04: +0,0.48,247
Aug 27 2021 05: +0,0.49,483
Aug 27 2021 06: +0,0.482,304
Aug 27 2021 07: +0,0.482,494
Aug 27 2021 08: +0,0.48,579
Aug 27 2021 09: +0,0.471,440
Aug 27 2021 10: +0,0.482,458
Aug 27 2021 11: +0,0.471,750
Aug 27 2021 12: +0,0.48,558
Aug 27 2021 13: +0,0.49,536
Aug 27 2021 14: +0,0.472,516
Aug 27 2021 15: +0,0.48,803
Aug 27 2021 16: +0,0.482,591
Aug 27 2021 17: +0,0.477,556
Aug 27 2021 18: +0,0.482,552
Aug 27 2021 19: +0,0.487,577
Aug 27 2021 20: +0,0.474,618
Aug 27 2021 21: +0,0.481,720
Aug 27 2021 22: +0,0.469,552
Aug 27 2021 23: +0,0.469,366
Aug 28 2021 00: +0,0.479,465
Aug 28 2021 01: +0,0.46,631
Aug 28 2021 02: +0,0.463,685
Aug 28 2021 03: +0,0.469,671
Aug 28 2021 04: +0,0.497,543
Aug 28 2021 05: +0,0.499,651
Aug 28 2021 06: +0,0.499,538
Aug 28 2021 07: +0,0.499,537
Aug 28 2021 08: +0,0.49,748
Aug 28 2021 09: +0,0.49,605
Aug 28 2021 10: +0,0.481,669
Aug 28 2021 11: +0,0.472,490
Aug 28 2021 12: +0,0.482,795
Aug 28 2021 13: +0,0.481,1076
Aug 28 2021 14: +0,0.481,426
Aug 28 2021 15: +0,0.482,681
Aug 28 2021 16: +0,0.48,666
Aug 28 2021 17: +0,0.477,553
Aug 28 2021 18: +0,0.481,351
Aug 28 2021 19: +0,0.469,499
Aug 28 2021 20: +0,0.471,665
Aug 28 2021 21: +0,0.46,511
Aug 28 2021 22: +0,0.469,595
Aug 28 2021 23: +0,0.469,364
Aug 29 2021 00: +0,0.469,429
Aug 29 2021 01: +0,0.481,446
Aug 29 2021 02: +0,0.49,247
Aug 29 2021 03: +0,0.5,325
Aug 29 2021 04: +0,0.491,294
Aug 29 2021 05: +0,0.49,255
Aug 29 2021 06: +0,0.49,336
Aug 29 2021 07: +0,0.485,601
Aug 29 2021 08: +0,0.498,399
Aug 29 2021 09: +0,0.49,414
Aug 29 2021 10: +0,0.485,384
Aug 29 2021 11: +0,0.474,264
Aug 29 2021 12: +0,0.469,341
Aug 29 2021 13: +0,0.469,508
Aug 29 2021 14: +0,0.472,709
Aug 29 2021 15: +0,0.48,716
Aug 29 2021 16: +0,0.481,660
Aug 29 2021 17: +0,0.486,813
Aug 29 2021 18: +0,0.482,632
Aug 29 2021 19: +0,0.485,503
Aug 29 2021 20: +0,0.481,596
Aug 29 2021 21: +0,0.481,466
Aug 29 2021 22: +0,0.47,88
Aug 29 2021 23: +0,0.47,589
Aug 30 2021 00: +0,0.48,405
Aug 30 2021 01: +0,0.49,231
Aug 30 2021 02: +0,0.485,186
Aug 30 2021 03: +0,0.477,602
Aug 30 2021 04: +0,0.48,436
Aug 30 2021 05: +0,0.48,240
Aug 30 2021 06: +0,0.49,250
Aug 30 2021 07: +0,0.471,303
Aug 30 2021 08: +0,0.481,371
Aug 30 2021 09: +0,0.49,544
Aug 30 2021 10: +0,0.481,405
Aug 30 2021 11: +0,0.47,428
Aug 30 2021 12: +0,0.472,557
Aug 30 2021 13: +0,0.471,731
Aug 30 2021 14: +0,0.496,1114
Aug 30 2021 15: +0,0.471,670
Aug 30 2021 16: +0,0.472,1083
Aug 30 2021 17: +0,0.493,940
Aug 30 2021 18: +0,0.498,1862
Aug 30 2021 19: +0,0.493,743
Aug 30 2021 20: +0,0.481,459
Aug 30 2021 21: +0,0.49,222
Aug 30 2021 22: +0,0.488,114
Aug 30 2021 23: +0,0.495,314
Aug 31 2021 00: +0,0.496,517
Aug 31 2021 01: +0,0.495,590
Aug 31 2021 02: +0,0.488,610
Aug 31 2021 03: +0,0.49,738
Aug 31 2021 04: +0,0.492,337
Aug 31 2021 05: +0,0.493,487
Aug 31 2021 06: +0,0.493,400
Aug 31 2021 07: +0,0.49,374
Aug 31 2021 08: +0,0.483,990
Aug 31 2021 09: +0,0.483,510
Aug 31 2021 10: +0,0.483,922
Aug 31 2021 11: +0,0.493,449
Aug 31 2021 12: +0,0.482,612
Aug 31 2021 13: +0,0.49,704
Aug 31 2021 14: +0,0.483,554
Aug 31 2021 15: +0,0.47,563
Aug 31 2021 16: +0,0.48,825
Aug 31 2021 17: +0,0.48,618
Aug 31 2021 18: +0,0.472,686
Aug 31 2021 19: +0,0.484,717
Aug 31 2021 20: +0,0.5,2602
Aug 31 2021 21: +0,0.485,589
Aug 31 2021 22: +0,0.473,359
Aug 31 2021 23: +0,0.473,409
Sep 01 2021 00: +0,0.473,214
Sep 01 2021 01: +0,0.454,403
Sep 01 2021 02: +0,0.475,267
Sep 01 2021 03: +0,0.48,204
Sep 01 2021 04: +0,0.475,381
Sep 01 2021 05: +0,0.468,180
