Date,Price,Quantity Sold
Sep 28 2019 01: +0,0.082,118508
Sep 29 2019 01: +0,0.081,116652
Sep 30 2019 01: +0,0.079,98102
Oct 01 2019 01: +0,0.088,116358
Oct 02 2019 01: +0,0.097,110730
Oct 03 2019 01: +0,0.098,126992
Oct 04 2019 01: +0,0.099,131573
Oct 05 2019 01: +0,0.09,135065
Oct 06 2019 01: +0,0.079,124635
Oct 07 2019 01: +0,0.08,99508
Oct 08 2019 01: +0,0.084,105339
Oct 09 2019 01: +0,0.09,116394
Oct 10 2019 01: +0,0.097,125177
Oct 11 2019 01: +0,0.101,113268
Oct 12 2019 01: +0,0.097,137414
Oct 13 2019 01: +0,0.099,136267
Oct 14 2019 01: +0,0.1,111454
Oct 15 2019 01: +0,0.103,98357
Oct 16 2019 01: +0,0.101,91566
Oct 17 2019 01: +0,0.101,96477
Oct 18 2019 01: +0,0.101,124791
Oct 19 2019 01: +0,0.089,160049
Oct 20 2019 01: +0,0.077,139081
Oct 21 2019 01: +0,0.074,111395
Oct 22 2019 01: +0,0.068,86399
Oct 23 2019 01: +0,0.064,89942
Oct 24 2019 01: +0,0.062,90808
Oct 25 2019 01: +0,0.063,100500
Oct 26 2019 01: +0,0.061,113200
Oct 27 2019 01: +0,0.06,103092
Oct 28 2019 01: +0,0.056,80129
Oct 29 2019 01: +0,0.047,71591
Oct 30 2019 01: +0,0.034,60186
Oct 31 2019 01: +0,0.03,64145
Nov 01 2019 01: +0,0.03,68565
Nov 02 2019 01: +0,0.042,122008
Nov 03 2019 01: +0,0.045,73580
Nov 04 2019 01: +0,0.039,59734
Nov 05 2019 01: +0,0.037,52504
Nov 06 2019 01: +0,0.035,48189
Nov 07 2019 01: +0,0.032,54112
Nov 08 2019 01: +0,0.03,53154
Nov 09 2019 01: +0,0.03,60550
Nov 10 2019 01: +0,0.03,57132
Nov 11 2019 01: +0,0.03,52907
Nov 12 2019 01: +0,0.03,41271
Nov 13 2019 01: +0,0.03,41547
Nov 14 2019 01: +0,0.03,44745
Nov 15 2019 01: +0,0.03,45895
Nov 16 2019 01: +0,0.03,54764
Nov 17 2019 01: +0,0.03,45619
Nov 18 2019 01: +0,0.03,42130
Nov 19 2019 01: +0,0.03,62371
Nov 20 2019 01: +0,0.03,48686
Nov 21 2019 01: +0,0.03,43172
